place,time,magnitude,longitude,latitude,depth(km)
"47km NW of Aguadilla, Puerto Rico","2016-09-24T03:10:19Z","3","-67.4844","18.7205","51"
"35km WNW of Coquimbo, Chile","2016-09-24T02:56:14Z","3.7","-71.6931","-29.8407","29.74"
"33km S of Adak, Alaska","2016-09-24T02:54:20Z","2.6","-176.7199","51.5772","39.2"
"137km N of Road Town, British Virgin Islands","2016-09-24T02:11:05Z","2.9","-64.7472","19.652","46"
"18km S of Ust'-Kamchatsk Staryy, Russia","2016-09-24T01:49:11Z","4.5","162.4543","56.0635","44.48"
"294km NW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-24T01:32:55Z","5","-30.7241","-54.9555","15.42"
"41km SSE of Acajutla, El Salvador","2016-09-24T00:05:39Z","4.5","-89.721","13.2366","49.99"
"26km SE of Cranbrook, Canada","2016-09-24T00:01:33Z","2.6","-115.5495","49.3083333","3.23"
"47km SE of Tamisan, Philippines","2016-09-23T23:45:39Z","4.9","126.5773","6.5121","88.26"
"7km W of Nereju, Romania","2016-09-23T23:11:20Z","5.6","26.6271","45.7231","88.25"
"35km SE of Tamisan, Philippines","2016-09-23T22:53:10Z","6.3","126.4845","6.5792","65"
"133km ENE of Mohean, India","2016-09-23T22:27:25Z","4.9","94.4297","8.4548","44.36"
"43km NE of Punta Cana, Dominican Republic","2016-09-23T22:07:52Z","3.1","-68.127","18.8721","89"
"98km W of Fort Yukon, Alaska","2016-09-23T21:05:43Z","2.5","-147.4682","66.4792","13.9"
"147km ESE of Ohara, Japan","2016-09-23T20:26:24Z","4.6","141.7675","34.5634","19.78"
"18km W of Volcano, Hawaii","2016-09-23T19:29:25Z","3.2","-155.411","19.4071667","8.294"
"18km S of Sand Point, Alaska","2016-09-23T17:22:59Z","2.8","-160.5026","55.1725","57.9"
"45km WNW of Rincon, Puerto Rico","2016-09-23T17:19:16Z","2.7","-67.6463","18.4895","17"
"15km NNW of Pawnee, Oklahoma","2016-09-23T17:12:38Z","2.6","-96.8832","36.4601","5.71"
"26km ESE of Cyangugu, Rwanda","2016-09-23T16:11:56Z","4.8","29.1069","-2.6107","10"
"4km NNE of Kupang, Indonesia","2016-09-23T15:37:26Z","4.9","123.5975","-10.1318","54.58"
"Izu Islands, Japan region","2016-09-23T15:05:15Z","5.2","142.0418","30.4553","35"
"159km ESE of Katsuura, Japan","2016-09-23T13:58:08Z","4.5","141.8446","34.4644","34.99"
"88km E of Pangai, Tonga","2016-09-23T13:49:07Z","4.8","-173.504","-19.77","53.75"
"7km W of Manley Hot Springs, Alaska","2016-09-23T13:26:09Z","3.6","-150.7974","64.9957","18.5"
"52km WNW of Anchor Point, Alaska","2016-09-23T13:09:15Z","3.2","-152.692","59.9569","99"
"158km S of False Pass, Alaska","2016-09-23T12:40:42Z","2.5","-163.4367","53.4273","12.2"
"147km ESE of Katsuura, Japan","2016-09-23T12:04:54Z","4.9","141.7379","34.5355","35"
"128km SE of Katsuura, Japan","2016-09-23T11:04:56Z","4.6","141.4262","34.4461","35"
"13km ESE of Behbahan, Iran","2016-09-23T10:50:53Z","4.6","50.3809","30.5641","33.08"
"102km ESE of Katsuura, Japan","2016-09-23T10:28:24Z","5.2","141.2634","34.6571","35"
"144km ESE of Ohara, Japan","2016-09-23T10:27:02Z","4.6","141.7766","34.6262","12.14"
"150km S of False Pass, Alaska","2016-09-23T09:15:05Z","2.5","-163.4461","53.4994","25.2"
"138km S of False Pass, Alaska","2016-09-23T08:59:19Z","4.7","-163.6561","53.6174","21.38"
"13km NW of Pawnee, Oklahoma","2016-09-23T08:28:18Z","2.8","-96.9151","36.4193","2.72"
"13km NW of Pawnee, Oklahoma","2016-09-23T08:28:13Z","2.8","-96.9102","36.4201","5.11"
"5km WNW of Ayutla de los Libres, Mexico","2016-09-23T07:54:54Z","4.9","-99.2683","16.9196","40.86"
"West of Macquarie Island","2016-09-23T07:36:42Z","4.6","147.528","-56.3669","10"
"101km S of Atka, Alaska","2016-09-23T07:06:03Z","3.1","-174.2139","51.2802","20.2"
"142km ESE of Ohara, Japan","2016-09-23T06:46:03Z","4.7","141.6982","34.5529","26.36"
"Off the west coast of northern Sumatra","2016-09-23T06:31:06Z","4.6","92.3612","2.9116","10"
"39km E of Leof, Indonesia","2016-09-23T06:30:15Z","4.8","124.9815","-9.5697","35.2"
"108km NE of Gisborne, New Zealand","2016-09-23T06:20:15Z","4.3","178.7376","-37.8707","10"
"94km SSE of Hasaki, Japan","2016-09-23T06:13:24Z","5.1","141.3978","35.0228","37.98"
"70km NNW of Antofagasta, Chile","2016-09-23T06:08:35Z","4.3","-70.7674","-23.1136","14.33"
"123km NNE of Gisborne, New Zealand","2016-09-23T05:56:29Z","5","178.6588","-37.666","10"
"167km ESE of Ohara, Japan","2016-09-23T05:34:30Z","5.2","141.9648","34.4804","10"
"190km NNW of Saumlaki, Indonesia","2016-09-23T05:09:27Z","5.1","130.4305","-6.4731","130.66"
"167km ESE of Ohara, Japan","2016-09-23T03:37:03Z","4.6","141.9733","34.5055","13.55"
"South Georgia Island region","2016-09-23T03:35:14Z","4.9","-31.3344","-55.0213","10"
"82km SSW of Chirovanga, Solomon Islands","2016-09-23T02:56:41Z","5.2","156.3659","-7.3668","10"
"109km NE of Hasaki, Japan","2016-09-23T02:26:02Z","4.5","141.8226","36.3052","10"
"35km S of Redoubt Volcano, Alaska","2016-09-23T02:25:29Z","2.5","-152.8596","60.1722","124.2"
"20km SSW of Buellton, CA","2016-09-23T02:10:40Z","2.72","-120.271","34.448","6.69"
"37km ESE of Gustavia, Saint Barthélemy","2016-09-23T01:48:34Z","4","-62.5085","17.7929","83.33"
"166km ESE of Ohara, Japan","2016-09-23T00:42:33Z","4.9","141.9634","34.5011","10"
"119km SE of Hasaki, Japan","2016-09-23T00:30:25Z","4.5","141.599","34.8537","10"
"92km NW of Vallenar, Chile","2016-09-23T00:25:19Z","4.2","-71.3418","-27.9175","18.59"
"143km ESE of Katsuura, Japan","2016-09-23T00:14:34Z","6.2","141.659","34.4876","10"
"Macquarie Island region","2016-09-23T00:13:40Z","4.3","159.3922","-59.2972","10"
"16km NW of Tehachapi, CA","2016-09-22T23:39:42Z","2.7","-118.5778333","35.2358333","6.91"
"25km SSE of Adak, Alaska","2016-09-22T22:19:29Z","3.1","-176.515","51.6698","58.1"
"6km N of Cushing, Oklahoma","2016-09-22T20:56:58Z","2.8","-96.7706","36.0406","5.75"
"Macquarie Island region","2016-09-22T20:32:39Z","4.6","160.0896","-59.2337","10"
"24km WSW of Atka, Alaska","2016-09-22T20:14:10Z","2.8","-174.5391","52.1258","72.6"
"163km SSE of Chipinge, Zimbabwe","2016-09-22T20:06:11Z","5.6","33.3301","-21.512","10"
"99km W of Larsen Bay, Alaska","2016-09-22T18:48:47Z","3","-155.6378","57.6168","1.1"
"5km SE of Tulcingo del Valle, Mexico","2016-09-22T18:08:58Z","4.6","-98.3951","18.0204","50.92"
"105km SW of Rulong, China","2016-09-22T17:23:15Z","5.3","99.6523","30.1738","20.69"
"101km SW of Rulong, China","2016-09-22T16:47:16Z","5.2","99.7009","30.19","22.4"
"58km NNE of Road Town, British Virgin Islands","2016-09-22T16:45:27Z","3.3","-64.5025","18.9218","8"
"104km NW of Davila, Philippines","2016-09-22T16:30:00Z","4.8","119.822","19.082","24.7"
"153km ESE of Katsuura, Japan","2016-09-22T16:20:35Z","4.7","141.7417","34.4336","25.87"
"158km ESE of Katsuura, Japan","2016-09-22T16:11:47Z","4","141.8468","34.4913","38.5"
"66km SW of Bristol Island, South Sandwich Islands","2016-09-22T16:07:27Z","5.5","-27.3555","-59.4526","8"
"159km ESE of Katsuura, Japan","2016-09-22T15:57:09Z","5.3","141.7706","34.3687","38.82"
"155km ESE of Katsuura, Japan","2016-09-22T15:56:05Z","5.1","141.7975","34.4733","10"
"74km WNW of Healy, Alaska","2016-09-22T14:10:33Z","3.2","-150.4403","64.0041","11.8"
"57km SW of Krui, Indonesia","2016-09-22T13:41:44Z","4.8","103.5345","-5.5115","61.59"
"116km ESE of Phek, India","2016-09-22T13:23:43Z","4.6","95.5762","25.2718","139.53"
"43km ESE of Amatignak Island, Alaska","2016-09-22T12:35:30Z","2.7","-178.5299","51.1143","25.6"
"Kuril Islands","2016-09-22T11:15:40Z","4.6","153.2172","46.6649","40.03"
"84km N of Culebra, Puerto Rico","2016-09-22T11:06:06Z","2.9","-65.3525","19.0692","49"
"71km E of Lakatoro, Vanuatu","2016-09-22T11:05:58Z","5.1","168.074","-16.2295","168.29"
"11km SSE of Piedecuesta, Colombia","2016-09-22T10:42:18Z","4.8","-73.0258","6.8864","148.65"
"159km ESE of Katsuura, Japan","2016-09-22T10:21:57Z","4.7","141.8385","34.4617","10"
"36km SSW of Ferndale, California","2016-09-22T10:03:41Z","2.83","-124.4725","40.2926667","20.75"
"13km NW of Pawnee, Oklahoma","2016-09-22T09:27:43Z","2.9","-96.9183","36.4214","5.68"
"237km WSW of Hanga Roa, Chile","2016-09-22T08:48:10Z","5","-111.6002","-28.0821","10"
"49km ENE of Raoul Island, New Zealand","2016-09-22T07:35:39Z","4.6","-177.4341","-29.0791","74.74"
"14km NW of Pawnee, Oklahoma","2016-09-22T06:42:18Z","3.2","-96.9194","36.4256","2.47"
"9km NW of Caban, Puerto Rico","2016-09-22T05:37:18Z","2.8","-67.195","18.5095","86"
"9km NNW of Aguadilla, Puerto Rico","2016-09-22T04:32:26Z","3.3","-67.1959","18.5042","86"
"56km N of Culebra, Puerto Rico","2016-09-22T04:03:16Z","3.1","-65.2673","18.8096","56"
"86km SW of Homer, Alaska","2016-09-22T03:03:07Z","3.5","-152.6069","59.086","62"
"68km WNW of Valdez, Alaska","2016-09-22T00:25:55Z","2.5","-147.5236","61.3684","5"
"127km ENE of Chernabura Island, Alaska","2016-09-21T22:11:59Z","3.7","-157.6539","55.1311","39.9"
"30km E of Salamanca, Chile","2016-09-21T22:04:50Z","4.7","-70.6537","-31.7723","10"
"51km WSW of Och'amch'ire, Georgia","2016-09-21T19:27:36Z","4.3","40.8922","42.5349","12.68"
"75km W of Peyia, Cyprus","2016-09-21T18:08:07Z","4","31.5628","34.8938","10"
"77km S of Ngulung Wetan, Indonesia","2016-09-21T18:07:11Z","4.6","111.4376","-8.995","59"
"19km SSE of Little Sitkin Island, Alaska","2016-09-21T17:13:17Z","3","178.575","51.7817","94.7"
"169km E of Saint Augustine Beach, Florida","2016-09-21T16:30:53Z","3.8","-79.5329","30.1005","0"
"22km NW of Taron, Papua New Guinea","2016-09-21T16:19:48Z","5.2","152.9092","-4.3056","31.57"
"15km S of Nabire, Indonesia","2016-09-21T15:52:05Z","4.1","135.4742","-3.5107","10"
"103km NNW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-21T14:46:08Z","5","-27.5378","-55.7937","37.79"
"149km SE of Akutan, Alaska","2016-09-21T13:07:45Z","2.5","-164.4731","53.0424","29.5"
"15km SE of Volcano, Hawaii","2016-09-21T11:56:34Z","2.51","-155.135","19.3321667","5.207"
"4km SSW of Circle Hot Springs Station, Alaska","2016-09-21T11:08:00Z","2.9","-144.7175","65.4324","5.8"
"36km S of Tanaga Volcano, Alaska","2016-09-21T10:16:05Z","2.5","-178.1996","51.5578","23.4"
"165km SSW of Ndoi Island, Fiji","2016-09-21T09:42:28Z","4.5","-179.4614","-21.9678","582.9"
"54km NW of San Antonio, Puerto Rico","2016-09-21T08:39:52Z","2.8","-67.5074","18.7998","10"
"65km NE of Punta Cana, Dominican Republic","2016-09-21T08:37:13Z","3.3","-67.9253","18.9619","58"
"4km SSW of Circle Hot Springs Station, Alaska","2016-09-21T08:33:23Z","3","-144.7121","65.4354","3.5"
"106km NNE of Chirikof Island, Alaska","2016-09-21T07:20:45Z","2.6","-154.679","56.6213","9.1"
"292km NW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-21T07:19:48Z","5.1","-30.503","-54.84","17.94"
"12km SE of Nikolski, Alaska","2016-09-21T06:42:36Z","2.7","-168.7605","52.8503","47.1"
"8km S of Langston, Oklahoma","2016-09-21T06:18:48Z","3.4","-97.2426","35.8695","5"
"26km E of Honaunau-Napoopoo, Hawaii","2016-09-21T06:04:38Z","2.87","-155.6111667","19.4218333","2.642"
"157km WNW of Neiafu, Tonga","2016-09-21T05:44:06Z","5.2","-175.3394","-18.0521","250.52"
"63km N of Hatillo, Puerto Rico","2016-09-21T05:05:26Z","3.2","-66.8225","19.059","22"
"87km W of Ferndale, California","2016-09-21T05:02:47Z","2.59","-125.2926667","40.6573333","26.29"
"48km SSE of Buldir Island, Alaska","2016-09-21T04:44:49Z","3.1","176.0918","51.9306","25.1"
"7km SSW of Circle Hot Springs Station, Alaska","2016-09-21T04:44:27Z","2.6","-144.7439","65.4101","1.6"
"16km S of Little Sitkin Island, Alaska","2016-09-21T04:08:32Z","2.9","178.5471","51.7985","103.3"
"53km NNE of Arecibo, Puerto Rico","2016-09-21T04:04:28Z","2.8","-66.5907","18.9454","39"
"56km NNE of Arecibo, Puerto Rico","2016-09-21T03:43:48Z","3","-66.5915","18.9645","43"
"12km S of Kyonju, South Korea","2016-09-21T02:53:53Z","3.5","129.2058","35.732","10"
"133km SE of Pondaguitan, Philippines","2016-09-21T02:20:09Z","4.9","127.0359","5.5183","72.24"
"50km WSW of Nioumachoua, Comoros","2016-09-21T01:08:44Z","5.1","43.2695","-12.4971","10"
"5km S of Circle Hot Springs Station, Alaska","2016-09-21T01:01:27Z","3.3","-144.6916","65.4193","4.8"
"111km S of False Pass, Alaska","2016-09-21T00:55:43Z","2.6","-163.1783","53.8572","25.9"
"297km ESE of Grytviken, South Georgia and the South Sandwich Islands","2016-09-21T00:38:44Z","4.9","-32.0497","-54.9555","10"
"300km NW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-21T00:05:54Z","5.2","-30.5758","-54.792","10"
"51km W of Anchor Point, Alaska","2016-09-20T22:54:55Z","2.5","-152.7365","59.689","90.1"
"10km S of Langston, Oklahoma","2016-09-20T22:01:40Z","2.6","-97.2385","35.8559","6.63"
"77km SE of Ile Hunter, New Caledonia","2016-09-20T21:31:32Z","4.7","172.6324","-22.8437","10"
"91km ESE of False Pass, Alaska","2016-09-20T20:19:47Z","2.5","-162.2121","54.4125","25.6"
"Izu Islands, Japan region","2016-09-20T20:06:32Z","4.7","142.6808","30.5894","27.07"
"77km E of Old Iliamna, Alaska","2016-09-20T19:55:48Z","3.1","-153.54","59.8335","132.1"
"52km NW of Ndoi Island, Fiji","2016-09-20T19:46:33Z","4.7","-179.0037","-20.2705","657.09"
"166km ENE of Kuril'sk, Russia","2016-09-20T19:21:58Z","4.2","149.7236","45.9997","159.18"
"50km E of Maneadero, B.C., MX","2016-09-20T19:09:39Z","3.2","-116.0455","31.7733333","17.63"
"20km NW of Medford, Oklahoma","2016-09-20T18:40:07Z","3.1","-97.9058","36.9344","5.562"
"21km NW of Medford, Oklahoma","2016-09-20T17:46:36Z","2.8","-97.9105","36.9424","3.929"
"21km NW of Medford, Oklahoma","2016-09-20T17:46:00Z","2.9","-97.9105","36.9421","3.922"
"21km NW of Medford, Oklahoma","2016-09-20T17:31:47Z","2.9","-97.9108","36.9441","4.428"
"3km NNE of Gardena, CA","2016-09-20T16:31:18Z","2.86","-118.2946667","33.9153333","11.19"
"Izu Islands, Japan region","2016-09-20T16:21:16Z","6.1","142.0791","30.5374","10"
"7km SW of West Yellowstone, Montana","2016-09-20T14:59:32Z","2.58","-111.168","44.614","9.03"
"57km WSW of Redoubt Volcano, Alaska","2016-09-20T14:48:46Z","2.9","-153.719","60.3029","185.4"
"62km N of Jayapura, Indonesia","2016-09-20T14:44:51Z","4.4","140.672","-1.969","14.59"
"3km NNE of Gardena, CA","2016-09-20T14:43:58Z","3.03","-118.2976667","33.914","11.67"
"86km SSW of Nikolski, Alaska","2016-09-20T14:42:40Z","3.4","-169.1251","52.1762","15.2"
"25km NNW of Orofino, Idaho","2016-09-20T14:06:11Z","2.7","-116.4057","46.6843","10.77"
"24km ESE of Punta Cana, Dominican Republic","2016-09-20T14:00:51Z","3","-68.1979","18.4722","90"
"33km SW of Malad City, Idaho","2016-09-20T13:40:17Z","2.63","-112.5208333","41.9636667","4.17"
"33km SW of Malad City, Idaho","2016-09-20T13:40:17Z","2.63","-112.5211667","41.966","6.28"
"72km S of San Pedro de Atacama, Chile","2016-09-20T13:24:42Z","5","-68.1886","-23.5705","127.27"
"214km WNW of Abepura, Indonesia","2016-09-20T13:10:47Z","5.4","138.764","-1.9884","10"
"174km SSE of Lata, Solomon Islands","2016-09-20T12:59:43Z","4.4","166.4862","-12.1606","82.52"
"41km NE of Road Town, British Virgin Islands","2016-09-20T12:46:38Z","3","-64.3366","18.6795","62"
"159km ESE of Kuril'sk, Russia","2016-09-20T12:11:19Z","4.6","149.79","44.758","44.21"
"152km SE of False Pass, Alaska","2016-09-20T11:38:56Z","3.2","-161.8051","53.8551","25.8"
"Southwest Indian Ridge","2016-09-20T11:36:25Z","4.8","60.9812","-29.3127","10"
"169km E of Hasaki, Japan","2016-09-20T11:34:01Z","4.6","142.7014","35.8998","31.32"
"153km SW of Middleton Island, Alaska","2016-09-20T11:13:59Z","3.8","-147.8679","58.4322","5"
"3km NNE of Gardena, CA","2016-09-20T10:20:52Z","2.51","-118.2991667","33.915","11.91"
"26km NE of Shughnon, Tajikistan","2016-09-20T09:42:33Z","4.5","71.8038","37.6567","126.01"
"66km N of San Juan, Puerto Rico","2016-09-20T08:44:03Z","2.6","-66.049","19.0687","44"
"131km N of Road Town, British Virgin Islands","2016-09-20T08:13:28Z","2.9","-64.7841","19.5928","13"
"20km SW of Chaganuzun, Russia","2016-09-20T07:18:13Z","4.9","88.1648","49.9569","13.83"
"88km ESE of Old Iliamna, Alaska","2016-09-20T06:59:28Z","2.6","-153.6143","59.3055","104.5"
"5km WSW of L'Assomption, Canada","2016-09-20T05:54:59Z","2.5","-73.4881667","45.8003333","9.09"
"19km NW of Medford, Oklahoma","2016-09-20T04:59:11Z","3.9","-97.8946","36.9246","2.62"
"3km NNE of Gardena, CA","2016-09-20T02:50:13Z","2.54","-118.2968333","33.9166667","11.42"
"33km NW of Atka, Alaska","2016-09-20T02:13:35Z","3","-174.5388","52.4101","210.9"
"14km SE of Esperanza, Puerto Rico","2016-09-20T02:10:58Z","2.5","-65.3734","18.0076","17"
"Southwest Indian Ridge","2016-09-20T01:31:40Z","5.4","59.0029","-30.9361","14.66"
"33km E of Road Town, British Virgin Islands","2016-09-20T00:15:39Z","3.1","-64.2993","18.4244","9"
"Kepulauan Barat Daya, Indonesia","2016-09-20T00:11:47Z","4.7","128.5603","-7.546","159.52"
"84km SE of Kirakira, Solomon Islands","2016-09-20T00:05:10Z","4.9","162.4938","-10.9632","73.29"
"51km ESE of Yamada, Japan","2016-09-19T23:46:49Z","4.4","142.481","39.2637","47.55"
"9km ESE of Maltignano, Italy","2016-09-19T23:34:26Z","4.1","13.1567","42.6721","7.64"
"14km W of Pawnee, Oklahoma","2016-09-19T22:30:46Z","2.6","-96.9676","36.3204","5.5"
"221km WNW of Abepura, Indonesia","2016-09-19T22:15:06Z","4.9","138.7049","-1.9812","37.98"
"68km SE of Cold Bay, Alaska","2016-09-19T21:14:15Z","2.8","-161.8916","54.8007","58.2"
"20km SW of Adak, Alaska","2016-09-19T20:31:55Z","2.7","-176.8788","51.7612","13.2"
"26km ENE of Amatignak Island, Alaska","2016-09-19T17:19:12Z","2.5","-178.7817","51.3864","32.2"
"104km N of Charlotte Amalie, U.S. Virgin Islands","2016-09-19T17:05:21Z","2.8","-65.1207","19.2702","69"
"62km SSW of Unalaska, Alaska","2016-09-19T16:20:59Z","2.5","-166.9867","53.3831","68.8"
"29km N of Road Town, British Virgin Islands","2016-09-19T16:13:09Z","2.7","-64.642","18.6818","50"
"35km SSW of Soufriere, Dominica","2016-09-19T14:33:30Z","4.5","-61.4814","14.9319","174.57"
"117km NNE of Road Town, British Virgin Islands","2016-09-19T14:21:39Z","3.1","-64.2957","19.4314","83"
"14km NW of Pawnee, Oklahoma","2016-09-19T13:18:00Z","2.5","-96.9208","36.4328","5"
"64km NNW of Jayapura, Indonesia","2016-09-19T13:06:39Z","4.9","140.5794","-1.9673","12.36"
"14km NW of Pawnee, Oklahoma","2016-09-19T12:58:43Z","2.6","-96.9114","36.4397","5"
"41km NE of Road Town, British Virgin Islands","2016-09-19T11:45:41Z","2.6","-64.306","18.6457","7"
"11km SSW of Kyonju, South Korea","2016-09-19T11:33:58Z","4.6","129.1707","35.7436","13.43"
"14km NW of Pawnee, Oklahoma","2016-09-19T11:03:15Z","2.5","-96.9218","36.4279","7.64"
"7km WNW of Otra Banda, Dominican Republic","2016-09-19T08:52:33Z","3.2","-68.7257","18.6875","72"
"84km NE of Ndoi Island, Fiji","2016-09-19T07:26:30Z","4.3","-178.0233","-20.2232","542.38"
"76km N of Road Town, British Virgin Islands","2016-09-19T07:08:49Z","2.7","-64.511","19.1042","47"
"44km SSW of Redoubt Volcano, Alaska","2016-09-19T06:33:23Z","2.5","-152.9473","60.0988","124.6"
"92km WSW of Chernabura Island, Alaska","2016-09-19T06:22:14Z","2.6","-160.7838","54.36","25.4"
"36km E of Christiansted, U.S. Virgin Islands","2016-09-19T06:17:14Z","2.5","-64.3625","17.7392","109"
"13km NW of Pawnee, Oklahoma","2016-09-19T04:50:33Z","2.5","-96.9179","36.4214","5.062"
"10km S of Langston, Oklahoma","2016-09-19T04:16:31Z","2.9","-97.2379","35.8527","5.573"
"6km WSW of Lixourion, Greece","2016-09-19T03:59:45Z","4.7","20.3627","38.1744","10"
"8km N of Ellis, Kansas","2016-09-19T03:24:40Z","3.2","-99.5776","39.0133","2.56"
"18km ENE of Onan Ganjang, Indonesia","2016-09-19T02:43:06Z","4.6","98.7913","2.2089","10"
"19km W of Perry, Oklahoma","2016-09-19T02:37:55Z","2.5","-97.5105","36.2852","6.379"
"65km NNW of Antofagasta, Chile","2016-09-19T02:02:13Z","4.3","-70.6483","-23.1061","23.56"
"298km SSW of L'Esperance Rock, New Zealand","2016-09-19T01:43:21Z","4.3","179.8432","-33.9052","159.09"
"24km S of Alamo, Nevada","2016-09-19T00:30:19Z","2.8","-115.1853","37.1461","14.7"
"124km N of Isabela, Puerto Rico","2016-09-18T22:54:46Z","3.1","-67.1225","19.6203","32"
"174km NNE of Road Town, British Virgin Islands","2016-09-18T21:49:22Z","2.6","-63.9126","19.8418","45"
"6km N of Pawnee, Oklahoma","2016-09-18T21:30:52Z","2.7","-96.7949","36.3972","5.35"
"95km W of Fort Yukon, Alaska","2016-09-18T20:25:19Z","2.7","-147.4224","66.5017","18.5"
"99km NE of Punta Cana, Dominican Republic","2016-09-18T20:11:10Z","2.9","-67.7713","19.2436","30"
"114km NNE of Chignik Lake, Alaska","2016-09-18T19:47:11Z","2.6","-157.7198","57.1094","14.7"
"71km SSW of Chignik Lake, Alaska","2016-09-18T19:30:22Z","2.7","-159.2114","55.6683","72.7"
"21km W of Perry, Oklahoma","2016-09-18T18:30:34Z","3.1","-97.5215","36.2786","2.92"
"29km ESE of Emajagua, Puerto Rico","2016-09-18T17:50:34Z","2.6","-65.6451","17.8617","6"
"13km NNW of Nagarkot, Nepal","2016-09-18T17:14:17Z","4.2","85.4702","27.8247","24.93"
"4km NE of Atka, Alaska","2016-09-18T16:21:25Z","2.8","-174.1597","52.228","202.3"
"17km WSW of Ovalle, Chile","2016-09-18T16:06:58Z","4.1","-71.372","-30.663","50.5"
"24km SE of Yosemite Valley, California","2016-09-18T14:35:26Z","3.12","-119.363","37.5951667","2.62"
"18km SE of Yosemite Valley, California","2016-09-18T14:35:09Z","3.26","-119.4205","37.6316667","-1.86"
"80km NE of Calama, Chile","2016-09-18T13:08:45Z","4.1","-68.462","-21.892","135.6"
"75km NNW of Road Town, British Virgin Islands","2016-09-18T11:22:50Z","3.1","-64.8082","19.0776","25"
"14km W of Akutan, Alaska","2016-09-18T11:16:09Z","2.6","-165.9855","54.1163","6.6"
"Southwest Indian Ridge","2016-09-18T11:02:20Z","4.9","60.9892","-29.1809","14.38"
"37km WNW of Rincon, Puerto Rico","2016-09-18T08:45:55Z","2.9","-67.5595","18.5119","16"
"60km NNW of Jayapura, Indonesia","2016-09-18T07:51:22Z","4.7","140.4995","-2.0241","10"
"54km NNW of Jayapura, Indonesia","2016-09-18T07:46:07Z","4.6","140.5593","-2.0565","10"
"62km NNW of Jayapura, Indonesia","2016-09-18T07:17:36Z","5.5","140.4715","-2.0179","10"
"15km NNW of Rincon, Puerto Rico","2016-09-18T07:05:40Z","2.5","-67.32","18.464","94"
"40km NNE of Chernabura Island, Alaska","2016-09-18T06:46:04Z","2.5","-159.235","55.1029","10.5"
"66km NE of Adak, Alaska","2016-09-18T06:08:24Z","2.9","-175.9091","52.261","238.1"
"71km W of Atka, Alaska","2016-09-18T05:55:51Z","3.2","-175.2294","52.2946","220.2"
"109km NNE of Tobelo, Indonesia","2016-09-18T05:54:15Z","4.6","128.4831","2.6004","60"
"50km ENE of Yunaska Island, Alaska","2016-09-18T05:49:58Z","2.6","-169.9752","52.7465","78.4"
"Southwest Indian Ridge","2016-09-18T05:43:58Z","4.6","60.9208","-29.1488","10"
"79km SE of Yunaska Island, Alaska","2016-09-18T05:16:12Z","3.7","-170.0213","52.0518","33.2"
"48km SSE of Akutan, Alaska","2016-09-18T04:43:48Z","4.8","-165.4928","53.7332","47.65"
"59km SW of Redoubt Volcano, Alaska","2016-09-18T04:33:14Z","2.5","-153.4311","60.0698","153.5"
"5km SSE of Maria Antonia, Puerto Rico","2016-09-18T03:57:31Z","2.9","-66.8618","17.9365","3"
"45km W of Big Lake, Alaska","2016-09-18T03:57:21Z","2.6","-150.8006","61.532","61.5"
"60km WNW of Marigot, Saint Martin","2016-09-18T03:48:43Z","2.7","-63.6352","18.1917","99"
"1km SE of Anthony, Kansas","2016-09-18T03:37:41Z","2.7","-98.0203","37.1427","5.74"
"71km SSW of Krajan Tambakrejo, Indonesia","2016-09-18T03:27:10Z","4.2","112.4652","-8.9972","78.65"
"62km NW of Abepura, Indonesia","2016-09-18T01:49:51Z","4.2","140.1485","-2.2759","42.51"
"9km S of Carmen, Philippines","2016-09-18T01:25:54Z","4.5","126.0316","9.1434","59.61"
"64km NNW of Jayapura, Indonesia","2016-09-18T00:53:40Z","4.9","140.4944","-1.989","10"
"60km NW of San Antonio, Puerto Rico","2016-09-18T00:46:09Z","2.5","-67.538","18.8405","8"
"210km SSW of Port Hardy, Canada","2016-09-17T22:45:58Z","4.4","-128.9262","49.0809","10"
"231km WNW of Neiafu, Tonga","2016-09-17T22:20:55Z","4.6","-176.0469","-17.9443","349.39"
"16km SSE of La Parguera, Puerto Rico","2016-09-17T22:03:04Z","2.7","-67.0155","17.8304","30"
"59km N of Jayapura, Indonesia","2016-09-17T21:47:48Z","4.6","140.6583","-1.999","10"
"South Georgia Island region","2016-09-17T20:34:19Z","4.9","-31.2396","-55.1209","10"
"122km SSW of Bengkulu, Indonesia","2016-09-17T20:22:46Z","4.6","101.7775","-4.7893","22.78"
"160km N of Naze, Japan","2016-09-17T20:03:06Z","4.6","129.2945","29.8091","191.88"
"58km N of Jayapura, Indonesia","2016-09-17T20:00:49Z","5","140.629","-2.0078","13.11"
"188km S of Atka, Alaska","2016-09-17T19:12:28Z","2.5","-174.7071","50.5279","7.2"
"South Georgia Island region","2016-09-17T18:00:38Z","5.2","-31.5083","-55.3025","32.61"
"160km NNE of Vieques, Puerto Rico","2016-09-17T17:56:33Z","2.6","-65.248","19.7595","51"
"23km NNE of Road Town, British Virgin Islands","2016-09-17T17:07:02Z","2.5","-64.5534","18.6158","6"
